,Tweets,class
841,with schools closing in many parts of the country  is it okay to have babysitters or child care people in the house given no know exposures or illness in their homes ,0
348,the geopolitical consequences of covid   over the cliff,0
794,how deadly is covid  ,0
544,analysis  africa may have been hit harder by covid  than anyone knew https   t co ,1
177,bioweapons expert speaks out about novel coronavirus,0
388,act like you have covid    pm ardern says as new zealand heads into lockdown,0
221,people who have been vaccinated against covid  are less likely to suffer from long covid if they catch the virus than people who haven t  according to a new review of studies by the u k  health security agency https   t co ,1
551,how did covid  start ,0
951,coronavirus patients in china to be treated with high dose vitamin c,0
574,amged el hawrani  an ear  nose and throat specialist  died on march     becoming one of the first doctors in britain s national health service to die of covid  and emerged as a symbol of the dangers all health workers brave  https   t co ,1
751,pandemic turns political,0
822,should i keep extra food at home  what kind ,0
687,today in the atlantic   ebruenig on the death row prisoner who advocated for his own execution  plus  the case for tolerating covid  misinformation  and how confidence became a cult  https   t co  https   t co ,1
710,why are wild animals believed to be the source of this outbreak ,0
1142,different approaches to a coronavirus vaccine,0
969,coronavirus patients are being  cremated alive  in china,0
920,can i catch covid  from my pet ,0
197,after several attempts at getting people to go back to their offices only to be thwarted by the covid  surges  including the delta and omicron variants it may finally happen https   t co ,1
89,it s been sequenced  it s spread across borders  now the new pneumonia causing virus needs a name,0
21,as states roll back masking requirements for students  a new study shows that masks helped cut covid  infections in public k  schools that required them in the fall  https   t co ,1
805,i m taking a medication that suppresses my immune system  should i stop taking it so i have less chance of getting sick from the coronavirus ,0
253,following a growing worldwide trend  the canadian government is on the brink of announcing that it will be dropping the mandatory pre arrival pcr covid  test for travelers who can show proof that they are fully vaccinated https   t co ,1
655,several thousand new york city public workers could lose their jobs friday if they don t show they ve complied with the city s mandate requiring they receive at least two shots of the covid  vaccine  https   t co ,1
173,the seven day average of new covid  cases reported in the u s  last week dropped to a level not seen since the end of july   before the delta wave surged  according to data from the cdc though the seven day average of deaths remained high  https   t co ,1
787,one of the symptoms of covid  is shortness of breath  what does that mean ,0
216,mandates  sen  tim kaine  d va  slams an amendment from sen  ted cruz  r tx  that cuts off federal funding from an institution that forces vaccination of children for covid   https   t co ,1
300,benjamin netanyahu  the former prime minister of israel  tested positive for the coronavirus  according to the likud party   the  year old  feels well   a party spokesman said  https   t co diemiaaczk,1
142,the global death toll from covid  passed  million monday  a bleak milestone as a growing number of countries around the world drop all pandemic restrictions and prepare to live with the virus https   t co ,1
435,chief executive carrie lam shifts summer holidays to march to create covid  testing centers  prompting some families to book flights out ,1
685,should grandma still come visit ,0
329,president biden will set out steps to protect nursing home residents and hold providers accountable for unsafe and substandard care as part of his state of the union address  including expanding inspections and penalties on  bad actor  facilities  https   t co ,1
136,spiking gas prices driven by russia s war have replaced covid  fears as the chief obstacle for traveling this spring and summer  according the latest longwoods international tracking study of american travelers https   t co ,1
211,coronavirus may have originated from china s wuhan laboratory  study from chinese researchers shows,0
674,countries have paid heavily for their inadequate preparation for the covid  pandemic  governments cannot repeat that mistake in responding to the global rise of antibiotic resistance  write ramanan laxminarayan and  ukamrenvoy  https   t co ,1
1061,the coronavirus moves us towards a totalitarian state of the world and the introduction of agenda ,0
831,what treatments are available to treat coronavirus ,0
314,coronavirus coverup   exclusive interview of former virologist,0
45,people learned about the coronavirus created in the us laboratory in   they decided  a pandemic is no coincidence,0
482,redfield and birx  can they be trusted with covid ,0
567,coronavirus update  covid  ,0
153,the corona virus lies are too many to contain,0
310,masks are now optional for public school children in new york city   it is a day some have yearned for and others think has come too soon  triggered by mayor eric adams s decision to lift the mask mandate in the city s schools  https   t co rpbladohko,1
982,covid  pandemic,0
205,americans have less confidence in scientists than they did before the covid  pandemic began in   and trust has steadily declined over the course of the pandemic  a new pew research poll finds  https   t co ,1
615,  biometrics systems being covertly installed in schools during coronavirus lockdowns,0
155,the best ways to prevent and treat co   corona virus ,0
444,covid   coronavirus  quarantine  self isolation and social distancing,0
658,the biden administration has urged prime minister justin trudeau s government to use its federal powers to end the truck blockade by canadians protesting the country s covid  restrictions  https   t co ,1
862,sun exposure does not kill the coronavirus,0
1129,staying safe isn t just about hygiene and distance  it s about time  too,0
598,don t buy china s story  the coronavirus may have leaked from a lab,0
1063,coronavirus outbreak in europe  criminal negligence or preplanned action,0
995,what should i do if someone in my houes gets sick with covid  ,0
701,what are the special risks of covid  to pregnant women  ,0
573,a jury has been selected for the trial of four men charged with plotting to kidnap michigan gov  gretchen whitmer  prosecutors say the men conspired to kidnap the democratic governor in  because they were angry about covid  restrictions she imposed   https   t co vhikljyoxk,1
1138,what is it ,0
91,while new covid  cases and hospitalizations keep tumbling  more than   americans are still dying every day from covid  https   t co ,1
1009,manufactured pandemic  testing people for any strain of a coronavirus  not specifically for covid ,0
121,for the first time in more than a month  there are fewer than   hospital beds in use for patients with covid  nationwide  according to data from the us department of health and human services  https   t co ,1
101,yes  coronavirus is a bioweapon with gene sequencing that s only possible if it was genetically modified in a lab,0
305,inside the extraordinary race to invent a coronavirus vaccine,0
1023,how does the new coronavirus compare with the flu ,0
944,  how scientists quantify the intensity of an outbreak like coronavirus and predict the pandemic s spread,0
340,south korea approved pfizer biontech s covid vaccine for   to  year olds  as the country grapples with one of the world s worst outbreaks     new cases were recorded on tuesday  a jump of nearly   from the day before  https   t co ,1
806,i heard that certain blood pressure medicines might worsen symptoms of covid   should i stop taking my medication now just in case i do get infected  should i stop if i develop symptoms of covid  ,0
359,president biden said that it was  probably premature  to end covid measures like indoor mask mandates  while suggesting that other restrictions may soon be able to end  https   t co pgdjmqeitm,1
28,the cdc recommended children get vaccinated in november when the shot became available to most kids  but florida surgeon general joseph ladapo said the state is going to issue separate guidance urging parents not to vaccinate their kids  https   t co ,1
278,a newly published study suggests a link between vitamin d deficiency and severity of disease from covid  infection  https   t co ,1
318,black new yorkers were hospitalized with covid  at more than twice the rate of white new yorkers during the recent omicron wave  an indication that the health disparities seen during the pandemic are in some respects deepening  according to a new report  https   t co ,1
555,what s happening with a vaccine ,0
211,every member of congress will be allowed to attend president joe biden s first state of the union address on march   according to multiple reports  after biden s address to a joint session of congress last spring was limited to just  people because of covid  protocols  https   t co ,1
495,hospital based intravenous vitamin c treatment for coronavirus and related illnesses,0
595,no weapon left behind  the american hybrid war on china,0
1103,covid  isn t just a respiratory disease  it hits the whole body,0
581,sooner or later  americans will have to choose between freedom or a vaccine with a microchip,0
459,surging demand and shrinking supply are making home buying more difficult  particularly for middle class americans  wsjwhatsnow https   t co  https   t co ,1
1128,main pieces of advice to avoid the coronavirus,0
162,a new study shows the johnson  amp  johnson covid  vaccine was far less effective at keeping people out of the hospital than the pfizer shot  https   t co ,1
330,experts know the new coronavirus is not a bioweapon  they disagree on whether it could have leaked from a research lab,0
489,canadian prime minister justin trudeau said he will invoke emergency measures for the first time to end demonstrations against covid  vaccine mandates that have paralyzed ottawa and continue to block some cross border traffic https   t co ,1
110,bob saget died as a result of  blunt head trauma   according to an autopsy report   the report said a pcr test showed saget was positive for covid   in december  he said he had covid   and pcr tests can return positive results for weeks after recovery  https   t co ,1
118,dhs is warning law enforcement that a convoy of truckers protesting covid  vaccine mandates  similar to recent protests in canada  could soon begin in the us   with the potential to affect sunday s super bowl in the la area and cause other disruptions  https   t co hvvwhoxzbc,1
135,philippine airlines is increasing its scheduled flights by   this month amid optimism tourism will recover as the country reopens its international borders and the government eases covid  restrictions https   t co ,1
417,bill gates  vaccinations  microchips  and patent ,0
131,philippine airlines is increasing its scheduled flights by   this month amid optimism tourism will recover as the country reopens its international borders and the government eases covid  restrictions https   t co ,1
116,there s a connection between coronavirus and ,0
660,how deadly is the virus ,0
201,walmart administered   of its vaccines against covid  in  medically underserved  areas of the u s  since the shots became widely available https   t co  https   t co ,1
347,u s  ukraine partnership to reduce biological threats,0
669,virus update     who  global covid  case counts down   last week    cases rise in afghanistan as health system crumbles    u s  air force approves  religious exemptions for covid vaccine    study  omicron spike hit nyc deer too   more coverage  https   t co ,1
347,the new york state health commissioner announced on friday that the state would not enforce a booster shot requirement that had been scheduled to take effect for health care workers on monday  https   t co ,1
383,china logged its highest daily total of locally transmitted covid  infections since the  wuhan outbreak https   t co xwlkhvmpsm,1
915,can children or adolescents catch covid  ,0
108,the fda has authorized a new monoclonal antibody treatment that seems to work against the omicron variant of the virus that causes covid   https   t co ,1
421,did scientists know about coronavirus before outbreak   disease x  warning revealed,0
561,what are the symptoms of covid  ,0
160,treatments for covid ,0
264,pfizer delays fda application for covid  vaccine to children under  https   t co  https   t co ,1
78,pfizer biontech s covid  mrna vaccine provides an added layer of protection against reinfection for people who have been previously infected with covid   as well as increased immune durability over time  according to two studies published wednesday https   t co ,1
123,tensions stemming from protests spearheaded by canadian truck drivers over the country s covid  mandates have been simmering in recent weeks    so much so that a judge has temporarily banned demonstrators from using horns https   t co ,1
117,full transcript of  smoking gun  bombshell interview  prof  frances boyle exposes the bioweapons origins of the covid  coronavirus,0
648, people are tired   said georgia sen  raphael warnock  there s a shifting narrative on covid  restrictions across the u s  among democratic officials and candidates  they re increasingly supportive of easing mandates as the midterm elections approach  https   t co xauytkbvby,1
56,israel plans to open its borders to all tourists  no matter their covid  vaccination status  starting march  https   t co ,1
547,for those who lost partners  the memory of love lingers  a woman whose husband died of covid  early in the pandemic still visits their favorite restaurant  placing the same order with the same waitress  https   t co ,1
556,  danielgalarcon reports from guayaquil  ecuador s largest city  which was battered by one of the world s deadliest outbreaks of covid  and is now facing an explosion of violence  https   t co ,1
577,were they under the spell of undercover agents  or were they actually plotting to kidnap michigan s governor  jury selection begins tuesday in the trial of four men accused of conspiring to kidnap gov  gretchen whitmer over her covid  restrictions  https   t co ,1
1131,how coronavirus mutates and spreads,0
515,u s  stocks appear cheaper than they have since the early days of the covid  pandemic but such bargains won t be enough to power the next leg of the bull market  investors say https   t co ,1
645,police moved in to clear the remaining protesters near the busiest u s  canadian border crossing  ending a demonstration against covid  restrictions that has hurt the economy of both nations  police said about  people were arrested  https   t co ,1
223,nba commissioner adam silver spoke about a nyc covid  vaccine requirement wednesday that bars brooklyn nets star kyrie irving from playing in home games  here s what he said  https   t co  https   t co ,1
266,the federal government s revenue surpassed expenses by   billion last month  marking its first monthly surplus since before the covid  pandemic began  https   t co ,1
83,mark finchem  the arizona secretary of state candidate backed by former president donald trump  spread dangerous misinformation about the covid  pandemic on social media https   t co ,1
1004,dr  fauci sat on microsoft s board of directors ,0
314,breaking news  a u s  appeals court ruling barred the expulsion of migrant families on public health grounds if doing so would subject them to persecution  https   t co guyyqcimed,1
291,prince charles tests positive for covid  and is self isolating  clarence house says https   t co ,1
552,what exactly is covid  ,0
846,helicopters being used to spray disinfectants into the air to eradicate the coronavirus,0
430,initial jobless claims  a proxy for layoffs  fell to a seasonally adjusted   last week  as covid  cases continued to decline https   t co ,1
785,can covid  symptoms worsen rapidly after several days of illness ,0
377,pfizer expects results from its study of the covid  drug paxlovid in high risk children by the end of the year  https   t co ,1
235, cancer fighting essential oils    ways to use them,0
538,photos show the covid  emergency in hong kong https   t co ,1
864,sun exposure does not kill the coronavirus,0
493,vitamin c protects against coronavirus  ,0
8,the us canada border crossing at emerson  manitoba  and pembina  north dakota  has been shut down by protesters demonstrating against covid  mandates  according to the royal canadian mounted police in manitoba    follow live updates  https   t co ,1
682,if my child is very sick  will she be able to get tested ,0
265,pregnant people infected with covid appear to be more likely to experience serious complications or die during pregnancy than those who aren t infected with the coronavirus  according to new peer reviewed research published in jama  https   t co ,1
554,what are the symptoms of covid  ,0
674,caring for someone sick at home,0
113,read the latest on covid      multiple states are lifting mask mandates    nine new covid  cases identified among winter olympics related personnel    protests over covid  mandates disrupt auto production on both sides of us canada border https   t co ,1
44,coronavirus outbreak in europe  criminal negligence or preplanned action,0
673,antibiotic resistance causes more deaths than any infectious disease apart from covid  and tuberculosis  but countries have not made the investments necessary to ensure that antibiotics remain effective  write ramanan laxminarayan and  ukamrenvoy   https   t co ,1
574,who invented the coronavirus ,0
15,pfizer has begun a phase  and  clinical trial of its covid  antiviral treatment  paxlovid  in children ages  to   the company said wednesday in a news release  https   t co ,1
122,tensions stemming from protests spearheaded by canadian truck drivers over the country s covid  mandates have been simmering in recent weeks    so much so that a judge has temporarily banned demonstrators from using horns https   t co mjsvsykukp,1
175,queen elizabeth returned to work tuesday  over a week after buckingham palace announced the  year old monarch tested positive for covid   a clear sign she is on the mend  https   t co ,1
148,the white house is unveiling a new covid  strategy  here s what you need to know  https   t co xyvapwarku https   t co ,1
1122,should i spray myself or my kids with disinfectant ,0
321,rural parts of the u s  have fallen even further behind in vaccinating people against covid  since all adults became eligible for vaccines  making reducing death tolls in those areas difficult  the cdc said  https   t co lrdaiajsbo,1
431,the number of women in the u s  who died while pregnant or shortly after pregnancy continued to rise in  as the covid  pandemic spread  a federal report showed https   t co qdlhpwemyc,1
274,pregnant people infected with covid appear to be more likely to experience serious complications or die during pregnancy than those who aren t infected with the coronavirus  according to new peer reviewed research published in jama  https   t co ,1
228,on the origins of the  ncov virus  wuhan  china,0
340,everything you need to know about the coronavirus,0
200,covid  coronavirus epidemic has a natural origin,0
881,drinking methanol  ethanol or bleach does not prevent or cure covid  and can be extremely dangerous,0
1046,chinese spy team sent pathogens to the wuhan facility,0
351,the cdc director said on wednesday that the agency was working on  relevant  guidelines as the omicron wave recedes in the u s  and more states loosen mask policies   things are moving in the right direction  but we want to remain vigilant   she said  https   t co ,1
871,no specific treatment for covid  is currently available ,0
390,new york city will drop requirements for people to wear masks in schools and for patrons of restaurants and other businesses to show proof of vaccination  changes that coincide with a continuing drop in covid  cases  mayor eric adams said friday https   t co rhukisouwi,1
1056,the decision to go ahead on the coronavirus pandemic was taken at the davos forum by the rothschilds and the gates,0
283,cvs reported more than   billion in quarterly profits thanks in part to a rush of customers being vaccinated against covid  or tested for the virus https   t co ,1
442,coronavirus disease   covid  ,0
721,why will it likely take longer to develop a vaccine than a drug for covid  ,0
521,the eu is failing to deal with the pandemic  the union is about to collapse,0
338,the coronavirus  what scientists have learned so far,0
380,the covid  rules for travelers are changing again  but this time  they re getting easier  here s what to know about the latest shifts  https   t co ,1
395,consumers are increasingly monitoring their own health in the pandemic  and that is hastening the development of at home flu and strep throat tests https   t co ,1
399,the covid  omicron surge is fading  but there s still a staffing crisis at many u s  hospitals  a shortage of nurses and other staff means fewer beds for patients  https   t co ,1
512,coronavirus guidance  how to successfully manage viral infections and avoid their serious consequences,0
207,q a on the coronavirus pandemic,0
410,fauci  there might be  merit  to the idea of coronavirus immunity certificates,0
197,did china steal coronavirus from canada and weaponize it ,0
919,how long does it take after exposure to covid  to develop symptoms ,0
892,ultra violet  uv  lamps should not be used to disinfect hands or other areas of your skin,0
348,breaking news  california unveiled a  next phase  pandemic playbook that would treat the coronavirus as a manageable risk  rather than an emergency  https   t co kinermloep,1
518,no to   sign the petition ,0
641,canadian prime minister justin trudeau s government is weighing whether to invoke emergency powers to quell the protests by demonstrators who have paralyzed ottawa and blocked u s  canada border crossings in anger over the country s covid  restrictions  https   t co ,1
618,the british government says people with covid  will not be legally required to self isolate in england starting later this week  prime minister boris johnson said ending restrictions will let people  protect ourselves without restricting our freedoms   https   t co nnwuuoqzje,1
105,breaking news  china will admit coronavirus coming from its  lab,0
482,the biden administration told congress it needs an additional   billion in coronavirus response aid  according to people familiar with the matter https   t co ,1
776,can my pet infect me with the virus that causes covid  ,0
516,coronavirus  fears  wifi networks could be acting as  accelerator  for disease,0
1069,corona and huawei    the new opium war,0
1087,covid  is used as a tool of fear and terror by the eu,0
1132,chasing the elusive dream of a covid cure,0
1044,corona virus developed in canada and stolen by china,0
1144,summer weather could help fight coronavirus spread but won t halt the pandemic,0
669,infected but feeling fine  the unwitting coronavirus spreaders,0
649,many americans are seeking religious exemptions in order to circumvent covid  vaccine mandates   but they re getting little encouragement from major religious denominations and prominent faith leaders  https   t co ,1
725,what should the average person in a non outbreak area be doing to prepare ,0
894,do vaccines against pneumonia protect you against the new coronavirus ,0
221,cdc urges americans to just say  no  if friend offers them coronavirus  who says global risk of wuhan virus is  high ,0
584,covid   has bill gates predicted the current corona pandemic ,0
332,surfaces  sneezes  sex  how the coronavirus can and cannot spread,0
205,objective health   high dose vitamin c  good for people  bad for coronavirus,0
946,shanghai government officially recommends vitamin c for covid ,0
1080,coronavirus is man made,0
328,where did covid  come from  what we know about its origins,0
101,police say arrests have been made and vehicles towed away following protests at a key us canada border crossing over covid  mandates https   t co ,1
679,we asked dozens of experts whether most countries will still be employing extraordinary public health measures to slow the spread of covid  at the end of   read their responses here   https   t co ,1
259,special report  mike adams joins alex jones to reveal how coronavirus is an engineered weapon to destroy the western world,0
413,i do not believe this is accidental   expert on the origin of coronavirus,0
245,shares of moderna plummeted monday as covid  vaccine makers led a turbulent market decline  pushing the stock to its lowest level in nearly a year  https   t co xbushjyagj,1
206,americans have less confidence in scientists than they did before the covid  pandemic began in   and trust has steadily declined over the course of the pandemic  a new pew research poll finds  https   t co ,1
530,unvaccinated residents in hong kong will be barred from supermarkets  restaurants and malls as the city combats a record covid  outbreak https   t co ,1
624,robert f  kennedy jr  drops fresh bombshell   bill gates  coronavirus vaccine will pay out billions in profits to dr  fauci s agency,0
1141,most coronavirus cases are mild  complicating the response,0
281,covid  found in toilet paper,0
469,coronavirus   ,0
177,queen elizabeth appears to be on the mend after testing positive for covid  https   t co  https   t co ,1
446,amid the omicron wave in january  a record number of patients in hospitals had covid  they caught while there  a wall street journal analysis found https   t co ,1
559,the  year old bo gehring invented a breathalyzer style gadget that can test for covid   two patents are pending   if i succeed  it will be the most important thing i ve ever done   gehring said  https   t co ,1
483,watch  new studies offer clues about who may be more susceptible to long covid  a term for lingering covid  symptoms  we break down the science of long covid and the state of treatment  https   t co ,1
519, wireless  a dangerous experiment on humanity,0
271,pregnant people infected with covid appear to be more likely to experience serious complications or die during pregnancy than those who aren t infected with the coronavirus  according to new peer reviewed research published in jama  https   t co ,1
671,when covid  hit  there was no central resource to track the spread  so  we helped johns hopkins create one  thanks to beth blauer and team  people are better able to respond to the pandemic worldwide  find out how  https   t co oiucvtgglj https   t co ,1
315,frank plummer   canadian scientist key to coronavirus investigation assassinated in africa ,0
354,coachella will not require attendees to wear masks   or be vaccinated or tested for the coronavirus   when the festival returns for the first time in two years this april  https   t co ,1
684,should my family be taking any extra hygienic measures beyond hand washing ,0
368,prince charles tested positive for covid  and has gone into isolation  officials said   charles  the  year old heir to the british throne  also contracted a mild case of the virus in march   as it was first engulfing britain  https   t co ,1
914,what is the difference between self isolation  self quarantine and distancing ,0
11,why have women around the world been so disproportionately affected by covid   experts explain  https   t co ,1
286,video  respiratory doctor exposes the fake virus pandemic,0
305,covid  shows no signs of going away  how do we live with the virus long term  the epidemiologist  billhanage and the psychologist  drsullivanatl join  apoorvanyc today at   p m  et to answer your questions  dm them to  nytimesevents  https   t co ,1
606,the coronavirus is man made according to luc montagnier the man who discovered hiv,0
880,spraying and introducing bleach or another disinfectant into your body will not protect you against covid  and can be dangerous,0
1109,when are people with coronavirus most contagious ,0
517, is life threatening  and no one knows it,0
566,what are the treatments ,0
32,a convoy of vehicles lapped the washington  dc  beltway sunday morning to demand an end to covid  mandates and restrictions https   t co lveflhbxfy,1
611,breaking  hong kong orders mandatory citywide covid  testing for population of nearly eight million by march amid its worst coronavirus outbreak  https   t co wyzyupldhf,1
458,new york has become the latest state to delay a mandate for healthcare workers to receive covid  vaccine boosters after warnings that the rule would worsen existing staffing shortages https   t co ,1
928, the coronavirus scare start immediately after impeachment,0
105,millions of americans have retired early in response to the covid  pandemic  either by choice or necessity  share your story about how the pandemic has affected your retirement plans  for better or for worse  https   t co ,1
469,every member of congress will be invited to president biden s state of the union speech on march   but attendees will be required to wear masks and show proof of a negative covid  test https   t co sovbbnbwjz,1
319,coronavirus  a canadian american study could explain why blacks wonʼt get this epidemic in their countries,0
383,what precautions should i take if i need to travel ,0
295,breaking news  the tsa will extend its mask mandate on airplanes and public transit through at least april  as the cdc reviews the policy  https   t co toemtkbsqr,1
227,national basketball association commissioner adam silver questioned a new york city covid  vaccine requirement wednesday that bars brooklyn nets star kyrie irving from playing in home games  https   t co stkknxmzvg,1
507,here s how everyone can avoid getting the coronavirus,0
1084,refugees from greek camps will jeopardise germany s health and safety,0
224,what you need to know about the coronavirus,0
692, what can we expect from the coronavirus circulating now  will it change to become more lethal or more easily transmitted  ,0
439,gates and company s covid  vaccine boosterism ignores significant sars coronavirus vaccine risks known for over a decade,0
651,breaking  canadian police have moved in to remove protesters who have disrupted canada u s  trade at a major bridge border crossing  the demonstrators are protesting against canada s covid  mandates and restrictions   https   t co ,1
249,a newly published study suggests a link between vitamin d deficiency and severity of disease from covid  infection  https   t co ,1
294,beijing believes covid  is a biological weapon,0
524,from  wsjopinion  the lesson for the covid  police is that when you ve lost even canadians  arguably the most law abiding people on the planet  you ve lost the political plot  it s time for the pandemic emergency orders to end  https   t co ,1
1133,drug inspired by an old treatment could be the  next big thing for covid  ,0
614, the situation is still fragile   canadian prime minister justin trudeau said emergency powers are still needed despite the progress police have made in shutting down weeks long protests by truckers and others angry over canada s covid  restrictions  https   t co ,1
650,olympic athletes who tested positive for covid  at   feel their quarantine conditions are making a bad situation much worse   they ve complained about inedible meals  poor hygienic conditions and a lack of access to training equipment   https   t co ,1
192,after two years of wrestling with the covid  pandemic  the aviation industry is once again poised for a decade of growth https   t co  https   t co ,1
188,after two years of wrestling with the covid  pandemic  the aviation industry is once again poised for a decade of growth https   t co  https   t co ,1
823,when can i discontinue my self quarantine ,0
215,wales has become the first u k  country to say it will offer covid  vaccines to all children aged between five and  years old https   t co ,1
187,escaping pandora s box   another novel coronavirus,0
652, people are tired   said georgia sen  raphael warnock  there s a shifting narrative on covid  restrictions across the u s  among democratic officials and candidates  they re increasingly supportive of easing mandates as the midterm elections approach  https   t co kinngfxxgz,1
451,who says coronavirus came from an animal and was not made in a lab,0
1135,the coronavirus isn t alive  that s why it s so hard to kill,0
373,when should i be tested for covid  ,0
495,the ambassador bridge between detroit and the canadian city of windsor reopened late sunday  marking an end to a protest over covid  restrictions  wsjwhatsnow https   t co  https   t co ,1
181,did u s  and chinese researchers collaborate to create a coronavirus that can infect humans  shocking  scientific paper says  yes ,0
238,china cures coronavirus with vitamin c  research suggests selenium,0
285,thirty two athletes at the  beijing winter olympics are currently isolating at designated facilities after testing positive for covid  https   t co ,1
173,what precautions can i take when grocery shopping ,0
563,what should i do of i think someone in my family has been exposed to someone with covid  ,0
759,what can i do to protect myself and others from covid  ,0
1008,russian president vladimir putin has said that the united states created the coronavirus as a biological weapon to end china,0
993,am i at risk for covid  from mail  packages or products ,0
1042,drinking cold water  hot drinks or alcohol protects against coronavirus,0
266,special report  mike adams joins alex jones to reveal how coronavirus is an engineered weapon to destroy the western world,0
1018,what are the symptoms of covid  ,0
501,you ve been exposed to covid  more times than you can count  but never tested positive  here s what scientists say about the effect on your immune system  https   t co ,1
30,democrats and republicans on capitol hill are set for a showdown over covid  relief that threatens to hold up desperately needed aid to ukraine as the country fights back against russia s invasion  https   t co ,1
176,don t fall for these myths about coronavirus,0
269, what are the odds     a timeline of facts linking covid   hiv    wuhan s secret bio lab,0
236,americans have less confidence in scientists than they did before the covid  pandemic began in   and trust has steadily declined over the course of the pandemic  a new pew research poll finds  https   t co ,1
860, minutes in sauna will kill the coronavirus,0
